COUNTY_ID,COUNTY,TOWN_ID,TOWN,RLH_CNT,RLH_H_RAC,RLP_CNT,RLP_P_RAC,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,低收入戶,低收入戶占總戶數比例,低收入戶戶內人數,低收入戶戶內人數占總人數比例,資料時間
"65000","新北市","65000010","板橋區",1245.00,5.53,2063.00,3.72,"112Y12M"
"65000","新北市","65000020","三重區",2275.00,14.14,3860.00,10.08,"112Y12M"
"65000","新北市","65000030","中和區",1666.00,9.59,2978.00,7.31,"112Y12M"
"65000","新北市","65000040","永和區",911.00,9.85,1551.00,7.22,"112Y12M"
"65000","新北市","65000050","新莊區",1440.00,8.60,2959.00,6.99,"112Y12M"
"65000","新北市","65000060","新店區",1252.00,9.28,2046.00,6.71,"112Y12M"
"65000","新北市","65000070","樹林區",609.00,8.87,1214.00,6.72,"112Y12M"
"65000","新北市","65000080","鶯歌區",703.00,20.64,1681.00,18.87,"112Y12M"
"65000","新北市","65000090","三峽區",690.00,15.15,1523.00,13.17,"112Y12M"
"65000","新北市","65000100","淡水區",943.00,10.37,1766.00,9.08,"112Y12M"
"65000","新北市","65000110","汐止區",847.00,8.90,1582.00,7.55,"112Y12M"
"65000","新北市","65000120","瑞芳區",545.00,34.10,995.00,26.75,"112Y12M"
"65000","新北市","65000130","土城區",1000.00,10.59,2094.00,8.70,"112Y12M"
"65000","新北市","65000140","蘆洲區",1054.00,14.01,2169.00,10.84,"112Y12M"
"65000","新北市","65000150","五股區",458.00,12.22,1014.00,10.93,"112Y12M"
"65000","新北市","65000160","泰山區",210.00,7.03,420.00,5.42,"112Y12M"
"65000","新北市","65000170","林口區",350.00,6.38,757.00,5.69,"112Y12M"
"65000","新北市","65000180","深坑區",115.00,11.50,208.00,8.78,"112Y12M"
"65000","新北市","65000190","石碇區",86.00,25.80,143.00,19.96,"112Y12M"
"65000","新北市","65000200","坪林區",34.00,13.32,48.00,7.45,"112Y12M"
"65000","新北市","65000210","三芝區",222.00,22.71,420.00,18.97,"112Y12M"
"65000","新北市","65000220","石門區",47.00,11.08,93.00,8.65,"112Y12M"
"65000","新北市","65000230","八里區",281.00,16.00,542.00,12.92,"112Y12M"
"65000","新北市","65000240","平溪區",80.00,37.31,133.00,32.17,"112Y12M"
"65000","新北市","65000250","雙溪區",113.00,31.71,197.00,24.89,"112Y12M"
"65000","新北市","65000260","貢寮區",116.00,27.30,207.00,18.85,"112Y12M"
"65000","新北市","65000270","金山區",164.00,22.53,265.00,13.01,"112Y12M"
"65000","新北市","65000280","萬里區",351.00,46.43,439.00,21.04,"112Y12M"
"65000","新北市","65000290","烏來區",98.00,51.72,273.00,42.92,"112Y12M"
"63000","臺北市","63000010","松山區",869.00,10.79,1688.00,8.73,"112Y12M"
"63000","臺北市","63000020","信義區",1738.00,19.44,3299.00,15.96,"112Y12M"
"63000","臺北市","63000030","大安區",1085.00,9.04,1933.00,6.63,"112Y12M"
"63000","臺北市","63000040","中山區",1522.00,15.05,2497.00,11.54,"112Y12M"
"63000","臺北市","63000050","中正區",974.00,14.86,1780.00,11.85,"112Y12M"
"63000","臺北市","63000060","大同區",1697.00,31.93,3022.00,25.20,"112Y12M"
"63000","臺北市","63000070","萬華區",3842.00,48.37,6825.00,39.30,"112Y12M"
"63000","臺北市","63000080","文山區",2515.00,23.14,5839.00,22.43,"112Y12M"
"63000","臺北市","63000090","南港區",1119.00,23.18,2506.00,21.99,"112Y12M"
"63000","臺北市","63000100","內湖區",1500.00,13.46,3310.00,11.98,"112Y12M"
"63000","臺北市","63000110","士林區",2468.00,22.82,5337.00,19.99,"112Y12M"
"63000","臺北市","63000120","北投區",2228.00,22.44,4450.00,18.35,"112Y12M"
"68000","桃園市","68000010","桃園區",2806.00,14.70,5900.00,12.53,"112Y12M"
"68000","桃園市","68000020","中壢區",2100.00,12.18,4346.00,10.08,"112Y12M"
"68000","桃園市","68000030","大溪區",623.00,17.63,1628.00,17.21,"112Y12M"
"68000","桃園市","68000040","楊梅區",1045.00,15.52,2503.00,13.90,"112Y12M"
"68000","桃園市","68000050","蘆竹區",638.00,9.99,1460.00,8.63,"112Y12M"
"68000","桃園市","68000060","大園區",307.00,9.14,757.00,8.74,"112Y12M"
"68000","桃園市","68000070","龜山區",826.00,10.82,1828.00,10.25,"112Y12M"
"68000","桃園市","68000080","八德區",1609.00,19.74,3825.00,17.92,"112Y12M"
"68000","桃園市","68000090","龍潭區",677.00,14.38,1598.00,12.62,"112Y12M"
"68000","桃園市","68000100","平鎮區",801.00,9.46,1934.00,8.42,"112Y12M"
"68000","桃園市","68000110","新屋區",286.00,15.75,564.00,11.45,"112Y12M"
"68000","桃園市","68000120","觀音區",458.00,16.19,1051.00,14.10,"112Y12M"
"68000","桃園市","68000130","復興區",404.00,101.13,1447.00,109.54,"112Y12M"
"66000","臺中市","66000010","中區",409.00,49.72,632.00,35.54,"112Y12M"
"66000","臺中市","66000020","東區",838.00,27.32,1533.00,19.95,"112Y12M"
"66000","臺中市","66000030","南區",969.00,18.59,1988.00,15.67,"112Y12M"
"66000","臺中市","66000040","西區",874.00,18.48,1608.00,14.16,"112Y12M"
"66000","臺中市","66000050","北區",1687.00,27.11,3087.00,21.42,"112Y12M"
"66000","臺中市","66000060","西屯區",790.00,8.32,1516.00,6.44,"112Y12M"
"66000","臺中市","66000070","南屯區",767.00,10.66,1647.00,9.04,"112Y12M"
"66000","臺中市","66000080","北屯區",2352.00,19.54,4902.00,16.12,"112Y12M"
"66000","臺中市","66000090","豐原區",1077.00,19.02,2239.00,13.66,"112Y12M"
"66000","臺中市","66000100","東勢區",374.00,21.20,743.00,15.65,"112Y12M"
"66000","臺中市","66000110","大甲區",408.00,16.53,788.00,10.55,"112Y12M"
"66000","臺中市","66000120","清水區",699.00,21.72,1530.00,17.01,"112Y12M"
"66000","臺中市","66000130","沙鹿區",534.00,15.67,1204.00,12.19,"112Y12M"
"66000","臺中市","66000140","梧棲區",516.00,24.91,1265.00,20.73,"112Y12M"
"66000","臺中市","66000150","后里區",467.00,26.88,1085.00,20.22,"112Y12M"
"66000","臺中市","66000160","神岡區",353.00,16.99,807.00,12.54,"112Y12M"
"66000","臺中市","66000170","潭子區",600.00,15.49,1332.00,12.22,"112Y12M"
"66000","臺中市","66000180","大雅區",562.00,17.73,1303.00,13.61,"112Y12M"
"66000","臺中市","66000190","新社區",243.00,30.81,525.00,22.74,"112Y12M"
"66000","臺中市","66000200","石岡區",128.00,25.91,224.00,15.89,"112Y12M"
"66000","臺中市","66000210","外埔區",303.00,29.76,757.00,24.29,"112Y12M"
"66000","臺中市","66000220","大安區",164.00,28.57,364.00,20.14,"112Y12M"
"66000","臺中市","66000230","烏日區",372.00,12.45,789.00,9.84,"112Y12M"
"66000","臺中市","66000240","大肚區",482.00,25.24,1061.00,18.96,"112Y12M"
"66000","臺中市","66000250","龍井區",516.00,19.98,1179.00,15.04,"112Y12M"
"66000","臺中市","66000260","霧峰區",364.00,16.97,688.00,10.78,"112Y12M"
"66000","臺中市","66000270","太平區",1613.00,22.35,3730.00,18.82,"112Y12M"
"66000","臺中市","66000280","大里區",1676.00,22.23,3762.00,17.70,"112Y12M"
"66000","臺中市","66000290","和平區",231.00,48.86,525.00,48.64,"112Y12M"
"67000","臺南市","67000010","新營區",266.00,8.83,406.00,5.42,"112Y12M"
"67000","臺南市","67000020","鹽水區",200.00,19.64,340.00,14.02,"112Y12M"
"67000","臺南市","67000030","白河區",132.00,12.52,222.00,8.58,"112Y12M"
"67000","臺南市","67000040","柳營區",101.00,12.48,148.00,7.29,"112Y12M"
"67000","臺南市","67000050","後壁區",197.00,22.63,345.00,15.96,"112Y12M"
"67000","臺南市","67000060","東山區",74.00,9.18,130.00,6.79,"112Y12M"
"67000","臺南市","67000070","麻豆區",190.00,11.50,312.00,7.25,"112Y12M"
"67000","臺南市","67000080","下營區",87.00,9.29,116.00,5.17,"112Y12M"
"67000","臺南市","67000090","六甲區",93.00,11.44,134.00,6.32,"112Y12M"
"67000","臺南市","67000100","官田區",100.00,12.11,185.00,8.88,"112Y12M"
"67000","臺南市","67000110","大內區",76.00,20.95,111.00,12.72,"112Y12M"
"67000","臺南市","67000120","佳里區",149.00,6.79,239.00,4.10,"112Y12M"
"67000","臺南市","67000130","學甲區",116.00,11.74,164.00,6.65,"112Y12M"
"67000","臺南市","67000140","西港區",113.00,12.43,204.00,8.16,"112Y12M"
"67000","臺南市","67000150","七股區",157.00,19.79,271.00,12.78,"112Y12M"
"67000","臺南市","67000160","將軍區",111.00,15.73,174.00,9.53,"112Y12M"
"67000","臺南市","67000170","北門區",62.00,15.48,98.00,9.81,"112Y12M"
"67000","臺南市","67000180","新化區",142.00,9.26,215.00,5.02,"112Y12M"
"67000","臺南市","67000190","善化區",159.00,7.68,273.00,5.21,"112Y12M"
"67000","臺南市","67000200","新市區",89.00,6.39,142.00,3.77,"112Y12M"
"67000","臺南市","67000210","安定區",140.00,12.85,227.00,7.59,"112Y12M"
"67000","臺南市","67000220","山上區",39.00,14.13,61.00,8.69,"112Y12M"
"67000","臺南市","67000230","玉井區",125.00,24.08,208.00,15.95,"112Y12M"
"67000","臺南市","67000240","楠西區",125.00,36.41,258.00,29.63,"112Y12M"
"67000","臺南市","67000250","南化區",51.00,18.35,96.00,12.01,"112Y12M"
"67000","臺南市","67000260","左鎮區",60.00,32.63,90.00,21.27,"112Y12M"
"67000","臺南市","67000270","仁德區",277.00,9.15,434.00,5.61,"112Y12M"
"67000","臺南市","67000280","歸仁區",198.00,8.08,323.00,4.70,"112Y12M"
"67000","臺南市","67000290","關廟區",176.00,14.92,312.00,9.38,"112Y12M"
"67000","臺南市","67000300","龍崎區",10.00,6.82,14.00,4.03,"112Y12M"
"67000","臺南市","67000310","永康區",738.00,8.11,1286.00,5.47,"112Y12M"
"67000","臺南市","67000320","東區",660.00,8.87,1163.00,6.39,"112Y12M"
"67000","臺南市","67000330","南區",744.00,15.38,1284.00,10.60,"112Y12M"
"67000","臺南市","67000340","北區",634.00,12.05,936.00,7.39,"112Y12M"
"67000","臺南市","67000350","安南區",854.00,11.86,1611.00,7.98,"112Y12M"
"67000","臺南市","67000360","安平區",270.00,9.33,429.00,6.22,"112Y12M"
"67000","臺南市","67000370","中西區",559.00,16.76,739.00,9.46,"112Y12M"
"64000","高雄市","64000010","鹽埕區",277.00,25.61,407.00,18.06,"112Y12M"
"64000","高雄市","64000020","鼓山區",656.00,10.71,1149.00,8.17,"112Y12M"
"64000","高雄市","64000030","左營區",831.00,9.93,1595.00,8.09,"112Y12M"
"64000","高雄市","64000040","楠梓區",977.00,12.32,2087.00,10.81,"112Y12M"
"64000","高雄市","64000050","三民區",1659.00,11.65,2741.00,8.26,"112Y12M"
"64000","高雄市","64000060","新興區",387.00,16.40,563.00,11.35,"112Y12M"
"64000","高雄市","64000070","前金區",243.00,17.49,354.00,13.06,"112Y12M"
"64000","高雄市","64000080","苓雅區",889.00,11.97,1483.00,9.05,"112Y12M"
"64000","高雄市","64000090","前鎮區",1295.00,16.22,2296.00,12.77,"112Y12M"
"64000","高雄市","64000100","旗津區",415.00,38.74,806.00,30.74,"112Y12M"
"64000","高雄市","64000110","小港區",752.00,10.70,1525.00,9.84,"112Y12M"
"64000","高雄市","64000120","鳳山區",1329.00,8.95,2505.00,7.03,"112Y12M"
"64000","高雄市","64000130","林園區",622.00,22.73,1337.00,19.60,"112Y12M"
"64000","高雄市","64000140","大寮區",781.00,17.41,1568.00,14.00,"112Y12M"
"64000","高雄市","64000150","大樹區",224.00,15.78,433.00,10.71,"112Y12M"
"64000","高雄市","64000160","大社區",209.00,15.41,401.00,11.89,"112Y12M"
"64000","高雄市","64000170","仁武區",271.00,6.64,564.00,5.79,"112Y12M"
"64000","高雄市","64000180","鳥松區",142.00,7.20,257.00,5.79,"112Y12M"
"64000","高雄市","64000190","岡山區",266.00,7.35,515.00,5.39,"112Y12M"
"64000","高雄市","64000200","橋頭區",156.00,9.00,279.00,6.69,"112Y12M"
"64000","高雄市","64000210","燕巢區",183.00,16.69,264.00,9.17,"112Y12M"
"64000","高雄市","64000220","田寮區",58.00,19.10,89.00,13.63,"112Y12M"
"64000","高雄市","64000230","阿蓮區",107.00,11.25,238.00,8.68,"112Y12M"
"64000","高雄市","64000240","路竹區",221.00,12.60,373.00,7.41,"112Y12M"
"64000","高雄市","64000250","湖內區",155.00,13.57,329.00,11.14,"112Y12M"
"64000","高雄市","64000260","茄萣區",245.00,22.90,526.00,17.99,"112Y12M"
"64000","高雄市","64000270","永安區",59.00,10.12,115.00,8.30,"112Y12M"
"64000","高雄市","64000280","彌陀區",52.00,7.55,84.00,4.60,"112Y12M"
"64000","高雄市","64000290","梓官區",81.00,6.13,132.00,3.79,"112Y12M"
"64000","高雄市","64000300","旗山區",259.00,18.82,442.00,12.88,"112Y12M"
"64000","高雄市","64000310","美濃區",237.00,15.72,472.00,12.75,"112Y12M"
"64000","高雄市","64000320","六龜區",231.00,43.00,413.00,35.30,"112Y12M"
"64000","高雄市","64000330","甲仙區",66.00,28.95,143.00,25.80,"112Y12M"
"64000","高雄市","64000340","杉林區",161.00,34.07,387.00,35.33,"112Y12M"
"64000","高雄市","64000350","內門區",126.00,24.72,258.00,19.57,"112Y12M"
"64000","高雄市","64000360","茂林區",65.00,104.00,206.00,108.14,"112Y12M"
"64000","高雄市","64000370","桃源區",95.00,68.74,351.00,82.98,"112Y12M"
"64000","高雄市","64000380","那瑪夏區",58.00,66.36,222.00,70.14,"112Y12M"
"10002","宜蘭縣","10002010","宜蘭市",367.00,9.58,520.00,5.47,"112Y12M"
"10002","宜蘭縣","10002020","羅東鎮",321.00,11.88,522.00,7.46,"112Y12M"
"10002","宜蘭縣","10002030","蘇澳鎮",271.00,18.65,427.00,11.40,"112Y12M"
"10002","宜蘭縣","10002040","頭城鎮",135.00,12.57,229.00,8.09,"112Y12M"
"10002","宜蘭縣","10002050","礁溪鄉",226.00,15.03,349.00,9.99,"112Y12M"
"10002","宜蘭縣","10002060","壯圍鄉",148.00,15.49,246.00,10.09,"112Y12M"
"10002","宜蘭縣","10002070","員山鄉",168.00,13.37,236.00,7.34,"112Y12M"
"10002","宜蘭縣","10002080","冬山鄉",210.00,10.09,320.00,6.01,"112Y12M"
"10002","宜蘭縣","10002090","五結鄉",219.00,13.16,354.00,8.62,"112Y12M"
"10002","宜蘭縣","10002100","三星鄉",145.00,15.56,198.00,9.31,"112Y12M"
"10002","宜蘭縣","10002110","大同鄉",135.00,66.83,353.00,58.48,"112Y12M"
"10002","宜蘭縣","10002120","南澳鄉",210.00,99.86,600.00,98.14,"112Y12M"
"10004","新竹縣","10004010","竹北市",284.00,3.46,537.00,2.49,"112Y12M"
"10004","新竹縣","10004020","竹東鎮",368.00,10.06,797.00,8.22,"112Y12M"
"10004","新竹縣","10004030","新埔鎮",101.00,8.17,163.00,4.90,"112Y12M"
"10004","新竹縣","10004040","關西鎮",126.00,13.35,215.00,8.01,"112Y12M"
"10004","新竹縣","10004050","湖口鄉",266.00,8.49,527.00,6.38,"112Y12M"
"10004","新竹縣","10004060","新豐鄉",154.00,7.30,300.00,5.09,"112Y12M"
"10004","新竹縣","10004070","芎林鄉",74.00,9.88,130.00,6.38,"112Y12M"
"10004","新竹縣","10004080","橫山鄉",98.00,22.32,168.00,13.79,"112Y12M"
"10004","新竹縣","10004090","北埔鄉",52.00,16.77,75.00,8.78,"112Y12M"
"10004","新竹縣","10004100","寶山鄉",41.00,6.72,69.00,4.76,"112Y12M"
"10004","新竹縣","10004110","峨眉鄉",36.00,17.22,58.00,11.17,"112Y12M"
"10004","新竹縣","10004120","尖石鄉",174.00,58.82,584.00,61.14,"112Y12M"
"10004","新竹縣","10004130","五峰鄉",105.00,59.83,324.00,72.94,"112Y12M"
"10005","苗栗縣","10005010","苗栗市",421.00,12.69,672.00,7.79,"112Y12M"
"10005","苗栗縣","10005020","苑裡鎮",271.00,17.45,505.00,11.55,"112Y12M"
"10005","苗栗縣","10005030","通霄鎮",186.00,16.16,341.00,10.89,"112Y12M"
"10005","苗栗縣","10005040","竹南鎮",322.00,9.58,614.00,6.84,"112Y12M"
"10005","苗栗縣","10005050","頭份市",427.00,10.77,796.00,7.48,"112Y12M"
"10005","苗栗縣","10005060","後龍鎮",191.00,15.53,359.00,10.52,"112Y12M"
"10005","苗栗縣","10005070","卓蘭鎮",123.00,21.30,229.00,15.05,"112Y12M"
"10005","苗栗縣","10005080","大湖鄉",128.00,24.84,230.00,17.74,"112Y12M"
"10005","苗栗縣","10005090","公館鄉",209.00,19.05,356.00,11.40,"112Y12M"
"10005","苗栗縣","10005100","銅鑼鄉",126.00,20.55,224.00,13.57,"112Y12M"
"10005","苗栗縣","10005110","南庄鄉",140.00,36.82,318.00,35.96,"112Y12M"
"10005","苗栗縣","10005120","頭屋鄉",73.00,20.00,139.00,14.20,"112Y12M"
"10005","苗栗縣","10005130","三義鄉",94.00,16.67,159.00,10.64,"112Y12M"
"10005","苗栗縣","10005140","西湖鄉",55.00,21.30,85.00,13.58,"112Y12M"
"10005","苗栗縣","10005150","造橋鄉",76.00,18.18,134.00,11.55,"112Y12M"
"10005","苗栗縣","10005160","三灣鄉",46.00,20.17,63.00,10.54,"112Y12M"
"10005","苗栗縣","10005170","獅潭鄉",56.00,32.44,83.00,20.27,"112Y12M"
"10005","苗栗縣","10005180","泰安鄉",108.00,54.52,294.00,52.10,"112Y12M"
"10007","彰化縣","10007010","彰化市",1217.00,15.30,2031.00,8.98,"112Y12M"
"10007","彰化縣","10007020","鹿港鎮",467.00,18.09,816.00,9.64,"112Y12M"
"10007","彰化縣","10007030","和美鎮",517.00,18.39,886.00,10.06,"112Y12M"
"10007","彰化縣","10007040","線西鄉",123.00,26.53,202.00,12.47,"112Y12M"
"10007","彰化縣","10007050","伸港鄉",203.00,18.03,352.00,9.14,"112Y12M"
