COUNTY_ID,COUNTY,TOWN_ID,TOWN,C_CNT,C1_A_CNT,C1_B_CNT,C1_C_CNT,C1_D_CNT,C1_E_CNT,C1_F_CNT,C1_G_CNT,C1_H_CNT,C1_I_CNT,C1_J_CNT,C1_K_CNT,C1_L_CNT,C1_M_CNT,C1_N_CNT,C1_O_CNT,C1_P_CNT,C1_Q_CNT,C1_R_CNT,C1_S_CNT,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,工商業總家數,農、林、漁、牧業,礦業及土石採取業,製造業,電力及燃氣供應業,用水供應及污染整治業,營造業,批發及零售業,運輸及倉儲業,住宿及餐飲業,資訊及通訊傳播業,金融及保險業,不動產業,專業、科學及技術服務業,支援服務業,公共行政及國防；強制性社會安全,教育服務業,醫療保健及社會工作服務業,藝術、娛樂及休閒服務業,其他服務業,資料時間
"65000","新北市","65000010","板橋區",34250,50,11,2225,18,170,3973,15314,1729,3012,707,955,934,1600,678,0,138,67,862,1807,"112Y12M"
"65000","新北市","65000020","三重區",29210,29,4,3811,23,115,2649,14125,481,2094,466,759,751,1137,597,0,102,32,724,1311,"112Y12M"
"65000","新北市","65000030","中和區",28508,69,5,3276,18,92,3030,13220,516,2151,658,821,665,1401,569,0,65,25,762,1165,"112Y12M"
"65000","新北市","65000040","永和區",12250,16,3,435,8,32,1100,5708,165,1327,314,581,392,749,267,0,55,12,387,699,"112Y12M"
"65000","新北市","65000050","新莊區",29131,38,2,5191,22,122,2991,12177,590,2259,394,777,914,990,572,0,104,31,728,1229,"112Y12M"
"65000","新北市","65000060","新店區",17832,24,2,1169,16,61,1885,7981,357,1629,602,722,546,1000,407,0,115,21,510,785,"112Y12M"
"65000","新北市","65000070","樹林區",13537,12,5,3963,8,81,1238,5157,384,766,142,253,259,309,162,0,16,14,313,455,"112Y12M"
"65000","新北市","65000080","鶯歌區",5681,12,7,866,5,31,738,2724,126,379,49,85,109,120,91,0,10,3,122,204,"112Y12M"
"65000","新北市","65000090","三峽區",6219,16,7,529,3,28,755,2936,170,652,59,115,128,164,119,1,28,11,179,319,"112Y12M"
"65000","新北市","65000100","淡水區",10679,26,1,579,13,40,1177,4529,236,1408,236,248,345,524,284,0,71,15,390,557,"112Y12M"
"65000","新北市","65000110","汐止區",15941,37,4,1615,25,75,1774,7350,385,1149,439,557,324,794,331,0,38,21,370,653,"112Y12M"
"65000","新北市","65000120","瑞芳區",2184,2,3,116,2,8,311,996,77,379,15,25,13,34,41,0,3,2,68,89,"112Y12M"
"65000","新北市","65000130","土城區",13765,23,7,1849,10,62,1975,5734,691,984,184,310,288,448,234,0,19,16,389,542,"112Y12M"
"65000","新北市","65000140","蘆洲區",11451,7,4,1374,2,58,1403,5124,215,1081,139,225,344,319,194,0,33,12,303,614,"112Y12M"
"65000","新北市","65000150","五股區",7361,11,2,1705,4,60,768,3007,160,338,79,248,300,213,102,0,17,3,122,222,"112Y12M"
"65000","新北市","65000160","泰山區",4709,4,1,713,3,28,552,2138,103,353,48,77,77,154,93,0,13,9,149,194,"112Y12M"
