COUNTY_ID,COUNTY,TOWN_ID,TOWN,A15A19_E1314_CNT,A15A19_E1112_CNT,A15A19_E2122_CNT,A15A19_E3_4_5_CNT,A15A19_E6_7_CNT,A15A19_E8_9_CNT,A15A19_E1_2_CNT,A15A19_E03_CNT,A15A19_E04_CNT,A20A24_E1314_CNT,A20A24_E1112_CNT,A20A24_E2122_CNT,A20A24_E3_4_5_CNT,A20A24_E6_7_CNT,A20A24_E8_9_CNT,A20A24_E1_2_CNT,A20A24_E03_CNT,A20A24_E04_CNT,A25A29_E1314_CNT,A25A29_E1112_CNT,A25A29_E2122_CNT,A25A29_E3_4_5_CNT,A25A29_E6_7_CNT,A25A29_E8_9_CNT,A25A29_E1_2_CNT,A25A29_E03_CNT,A25A29_E04_CNT,A30A34_E1314_CNT,A30A34_E1112_CNT,A30A34_E2122_CNT,A30A34_E3_4_5_CNT,A30A34_E6_7_CNT,A30A34_E8_9_CNT,A30A34_E1_2_CNT,A30A34_E03_CNT,A30A34_E04_CNT,A35A39_E1314_CNT,A35A39_E1112_CNT,A35A39_E2122_CNT,A35A39_E3_4_5_CNT,A35A39_E6_7_CNT,A35A39_E8_9_CNT,A35A39_E1_2_CNT,A35A39_E03_CNT,A35A39_E04_CNT,A40A44_E1314_CNT,A40A44_E1112_CNT,A40A44_E2122_CNT,A40A44_E3_4_5_CNT,A40A44_E6_7_CNT,A40A44_E8_9_CNT,A40A44_E1_2_CNT,A40A44_E03_CNT,A40A44_E04_CNT,A45A49_E1314_CNT,A45A49_E1112_CNT,A45A49_E2122_CNT,A45A49_E3_4_5_CNT,A45A49_E6_7_CNT,A45A49_E8_9_CNT,A45A49_E1_2_CNT,A45A49_E03_CNT,A45A49_E04_CNT,A50A54_E1314_CNT,A50A54_E1112_CNT,A50A54_E2122_CNT,A50A54_E3_4_5_CNT,A50A54_E6_7_CNT,A50A54_E8_9_CNT,A50A54_E1_2_CNT,A50A54_E03_CNT,A50A54_E04_CNT,A55A59_E1314_CNT,A55A59_E1112_CNT,A55A59_E2122_CNT,A55A59_E3_4_5_CNT,A55A59_E6_7_CNT,A55A59_E8_9_CNT,A55A59_E1_2_CNT,A55A59_E03_CNT,A55A59_E04_CNT,A60A64_E1314_CNT,A60A64_E1112_CNT,A60A64_E2122_CNT,A60A64_E3_4_5_CNT,A60A64_E6_7_CNT,A60A64_E8_9_CNT,A60A64_E1_2_CNT,A60A64_E03_CNT,A60A64_E04_CNT,A65UP_E1314_CNT,A65UP_E1112_CNT,A65UP_E2122_CNT,A65UP_E3_4_5_CNT,A65UP_E6_7_CNT,A65UP_E8_9_CNT,A65UP_E1_2_CNT,A65UP_E03_CNT,A65UP_E04_CNT,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,15-19歲博士人口數,15-19歲碩士人口數,15-19歲大學院校人口數,15-19歲專科人口數,15-19歲高中職人口數,15-19歲國中初職人口數,15-19歲小學人口數,15-19歲自修人口數,15-19歲不識字人口數,20-24歲博士人口數,20-24歲碩士人口數,20-24歲大學院校人口數,20-24歲專科人口數,20-24歲高中職人口數,20-24歲國中初職人口數,20-24歲小學人口數,20-24歲自修人口數,20-24歲不識字人口數,25-29歲博士人口數,25-29歲碩士人口數,25-29歲大學院校人口數,25-29歲專科人口數,25-29歲高中職人口數,25-29歲國中初職人口數,25-29歲小學人口數,25-29歲自修人口數,25-29歲不識字人口數,30-34歲博士人口數,30-34歲碩士人口數,30-34歲大學院校人口數,30-34歲專科人口數,30-34歲高中職人口數,30-34歲國中初職人口數,30-34歲小學人口數,30-34歲自修人口數,30-34歲不識字人口數,35-39歲博士人口數,35-39歲碩士人口數,35-39歲大學院校人口數,35-39歲專科人口數,35-39歲高中職人口數,35-39歲國中初職人口數,35-39歲小學人口數,35-39歲自修人口數,35-39歲不識字人口數,40-44歲博士人口數,40-44歲碩士人口數,40-44歲大學院校人口數,40-44歲專科人口數,40-44歲高中職人口數,40-44歲國中初職人口數,40-44歲小學人口數,40-44歲自修人口數,40-44歲不識字人口數,45-49歲博士人口數,45-49歲碩士人口數,45-49歲大學院校人口數,45-49歲專科人口數,45-49歲高中職人口數,45-49歲國中初職人口數,45-49歲小學人口數,45-49歲自修人口數,45-49歲不識字人口數,50-54歲博士人口數,50-54歲碩士人口數,50-54歲大學院校人口數,50-54歲專科人口數,50-54歲高中職人口數,50-54歲國中初職人口數,50-54歲小學人口數,50-54歲自修人口數,50-54歲不識字人口數,55-59歲博士人口數,55-59歲碩士人口數,55-59歲大學院校人口數,55-59歲專科人口數,55-59歲高中職人口數,55-59歲國中初職人口數,55-59歲小學人口數,55-59歲自修人口數,55-59歲不識字人口數,60-64歲博士人口數,60-64歲碩士人口數,60-64歲大學院校人口數,60-64歲專科人口數,60-64歲高中職人口數,60-64歲國中初職人口數,60-64歲小學人口數,60-64歲自修人口數,60-64歲不識字人口數,65歲以上博士人口數,65歲以上碩士人口數,65歲以上大學院校人口數,65歲以上專科人口數,65歲以上高中職人口數,65歲以上國中初職人口數,65歲以上小學人口數,65歲以上自修人口數,65歲以上不識字人口數,資料時間
"65000","新北市","65000010","板橋區",0,0,5601,1582,14472,2125,189,0,0,11,1839,20243,1627,4112,301,41,0,0,87,4167,21534,1444,4599,387,24,0,0,201,5333,22706,1643,5556,652,41,0,0,371,6444,21283,3986,7577,1287,131,1,0,590,7268,19839,9711,12366,2594,307,2,9,535,6211,13871,11164,13547,3471,319,1,20,460,4274,8575,9104,14063,4188,397,13,30,352,2661,5637,6648,15080,6856,654,11,24,217,1355,4335,5128,14885,11450,2040,15,48,271,1478,8484,7991,25175,20518,36901,736,2069,"112Y"
"65000","新北市","65000020","三重區",0,0,3762,728,9450,1542,0,0,0,9,1146,14104,932,3647,338,8,0,0,69,2702,15927,967,3988,435,6,0,0,113,3309,16674,1304,4640,739,14,0,0,207,3677,14791,2812,6092,1189,115,0,0,278,3670,11954,6586,9522,2522,311,0,0,244,2900,7850,7479,10731,3312,246,0,1,184,2033,4803,6112,11489,4321,199,0,3,149,1411,3395,4595,11706,7151,258,1,3,127,634,2443,3195,11055,12244,417,10,14,109,593,3692,3853,15087,17044,29262,458,1744,"112Y"
"65000","新北市","65000030","中和區",0,0,4109,916,9628,1362,144,0,0,5,1338,14914,1114,2952,217,37,0,1,62,3290,16579,984,3298,261,16,0,1,142,3906,16777,1297,3938,447,21,0,0,280,4457,15081,2827,5220,766,84,0,2,400,4729,13867,6654,8604,1682,222,1,3,395,4127,10231,8294,9844,2262,257,3,4,357,3378,7071,7447,11304,2905,238,3,11,307,2307,5348,6140,12185,4528,422,5,19,211,1292,4682,4853,12592,7708,874,12,26,284,1410,9110,8016,22972,15934,24189,373,1380,"112Y"
"65000","新北市","65000040","永和區",0,0,2212,409,5344,825,73,0,2,6,776,7912,435,1168,66,19,0,0,49,2010,8444,406,1201,73,9,0,0,102,2377,8046,506,1365,102,11,1,0,195,2614,7438,1080,1690,206,22,0,1,323,2992,7425,2848,3049,390,68,1,1,292,2900,6038,3732,3822,574,73,2,3,250,2446,4592,3761,4717,744,67,1,3,294,1905,3919,3589,5791,1195,93,0,3,238,1261,3665,3285,6383,1993,240,2,7,338,1729,9075,5994,13991,7203,9426,220,482,"112Y"
"65000","新北市","65000050","新莊區",0,0,4679,1168,11740,1720,166,0,1,2,1390,16700,1192,3859,275,23,0,0,65,3347,18641,1125,4205,407,25,0,0,137,3991,19797,1357,4876,630,25,0,0,247,4447,16994,3312,6710,1184,135,0,0,326,4368,14260,7847,11056,2349,309,0,0,324,3653,9047,8973,11898,2955,264,0,0,227,2328,5086,6718,12276,3660,205,0,2,172,1482,3513,4802,13011,6250,321,1,0,128,754,2606,3301,11948,10879,704,12,21,145,647,3688,3833,15438,16424,23713,271,1262,"112Y"
"65000","新北市","65000060","新店區",0,0,2937,565,6795,772,306,0,5,8,968,11173,733,2303,139,32,1,1,59,2556,13207,827,2457,230,18,1,0,145,3069,12832,945,2859,273,12,2,0,226,3407,10524,1649,3294,519,63,1,2,360,3505,9177,3812,4978,979,126,6,0,403,3426,7151,4952,6156,1361,133,8,0,463,3463,6204,5344,7949,1957,146,9,1,459,2785,5415,5227,9666,2907,179,14,0,428,1882,5030,4791,9493,4394,310,22,1,729,2806,12941,8291,17750,9684,13726,301,799,"112Y"
"65000","新北市","65000070","樹林區",0,0,2045,534,5331,705,82,0,0,5,531,7349,569,2059,140,19,0,0,22,1307,7951,509,2282,221,26,1,0,58,1478,8011,578,2488,393,44,0,0,94,1339,6429,1214,3261,671,125,1,1,134,1504,5104,3121,5300,1301,214,2,2,146,1296,3367,3523,5357,1420,165,4,3,87,910,1952,2633,5669,1792,195,6,8,91,553,1289,1903,5896,3041,389,3,7,49,308,1065,1382,5148,4648,966,8,14,70,421,1887,1840,6777,6278,10747,183,518,"112Y"
"65000","新北市","65000080","鶯歌區",0,0,894,244,2624,375,25,0,0,1,241,3693,289,1211,54,5,0,0,7,574,3993,287,1216,107,8,0,0,22,729,3943,286,1439,199,8,0,0,40,744,3289,597,1942,388,52,0,0,51,642,2513,1345,2906,729,108,0,1,45,491,1394,1517,2897,1030,90,0,3,47,332,822,1041,2841,1185,92,4,4,31,230,587,797,2780,1875,207,2,6,21,110,407,651,2301,2649,520,3,11,14,94,626,715,2654,3076,5690,91,413,"112Y"
"65000","新北市","65000090","三峽區",0,0,1263,375,3524,530,25,0,0,6,373,4665,420,1484,109,7,0,0,17,767,5079,383,1684,177,7,0,0,35,917,4647,373,1684,291,8,1,0,50,905,3616,746,1995,513,49,0,0,126,984,2881,1529,2927,941,103,0,1,119,931,2041,1877,3280,1319,112,2,2,92,625,1275,1603,3722,1707,101,1,2,76,426,901,1268,3741,2601,201,2,4,51,255,781,966,3059,3047,424,7,17,81,325,1550,1257,3814,3577,6433,84,510,"112Y"
