COUNTY_ID,COUNTY,TOWN_ID,TOWN,LINF01_T,LINF01_C1,LINF01_C2,LINF01_C3,LINF01_C4,LINF01_C5,LINF01_C6,LINF01_C7,LINF01_C8,LINF01_C9,LINF01_C10,LINF01_C11,LINF01_C12,LINF02_T,LINF02_C1,LINF02_C2,LINF02_C3,LINF02_C4,LINF02_C5,LINF02_C6,LINF02_C7,LINF02_C8,LINF02_C9,LINF02_C10,LINF02_C11,LINF02_C12,LINF03_T,LINF03_C1,LINF03_C2,LINF03_C3,LINF03_C4,LINF03_C5,LINF03_C6,LINF03_C7,LINF03_C8,LINF03_C9,LINF03_C10,LINF03_C11,LINF03_C12,LINF04_T,LINF04_C1,LINF04_C2,LINF04_C3,LINF04_C4,LINF04_C5,LINF04_C6,LINF04_C7,LINF04_C8,LINF04_C9,LINF04_C10,LINF04_C11,LINF04_C12,LINF05_T,LINF05_C1,LINF05_C2,LINF05_C3,LINF05_C4,LINF05_C5,LINF05_C6,LINF05_C7,LINF05_C8,LINF05_C9,LINF05_C10,LINF05_C11,LINF05_C12,LINF06_T,LINF06_C1,LINF06_C2,LINF06_C3,LINF06_C4,LINF06_C5,LINF06_C6,LINF06_C7,LINF06_C8,LINF06_C9,LINF06_C10,LINF06_C11,LINF06_C12,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,不含車位_各建物型態合計棟數,不含車位_公寓棟數,不含車位_透天厝棟數,不含車位_店面(店舖)棟數,不含車位_辦公商業大樓棟數,不含車位_住宅大樓棟數,不含車位_華廈棟數,不含車位_套房棟數,不含車位_工廠棟數,不含車位_廠辦棟數,不含車位_農舍棟數,不含車位_倉庫棟數,不含車位_其他建物型態棟數,不含車位_各建物型態合計面積,不含車位_公寓面積,不含車位_透天厝面積,不含車位_店面(店舖)面積,不含車位_辦公商業大樓面積,不含車位_住宅大樓面積,不含車位_華廈面積,不含車位_套房面積,不含車位_工廠面積,不含車位_廠辦面積,不含車位_農舍面積,不含車位_倉庫面積,不含車位_其他建物型態面積,不含車位_各建物型態整體中位數房價,不含車位_公寓中位數房價,不含車位_透天厝中位數房價,不含車位_店面(店舖)中位數房價,不含車位_辦公商業大樓中位數房價,不含車位_住宅大樓中位數房價,不含車位_華廈中位數房價,不含車位_套房中位數房價,不含車位_工廠中位數房價,不含車位_廠辦中位數房價,不含車位_農舍中位數房價,不含車位_倉庫中位數房價,不含車位_其他建物型態中位數房價,含車位_各建物型態合計棟數,含車位_公寓棟數,含車位_透天厝棟數,含車位_店面(店舖)棟數,含車位_辦公商業大樓棟數,含車位_住宅大樓棟數,含車位_華廈棟數,含車位_套房棟數,含車位_工廠棟數,含車位_廠辦棟數,含車位_農舍棟數,含車位_倉庫棟數,含車位_其他建物型態棟數,含車位_各建物型態合計面積,含車位_公寓面積,含車位_透天厝面積,含車位_店面(店舖)面積,含車位_辦公商業大樓面積,含車位_住宅大樓面積,含車位_華廈面積,含車位_套房面積,含車位_工廠面積,含車位_廠辦面積,含車位_農舍面積,含車位_倉庫面積,含車位_其他建物型態面積,含車位_各建物型態整體中位數房價,含車位_公寓中位數房價,含車位_透天厝中位數房價,含車位_店面(店舖)中位數房價,含車位_辦公商業大樓中位數房價,含車位_住宅大樓中位數房價,含車位_華廈中位數房價,含車位_套房中位數房價,含車位_工廠中位數房價,含車位_廠辦中位數房價,含車位_農舍中位數房價,含車位_倉庫中位數房價,含車位_其他建物型態中位數房價,資料時間
09007,連江縣,09007010,南竿鄉,3,,,,,,3,,,,,,,102.92,,,,,,102.92,,,,,,,4500000,,,,,,4500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"112Y"
09007,連江縣,09007020,北竿鄉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"112Y"
09007,連江縣,09007030,莒光鄉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"112Y"
09007,連江縣,09007040,東引鄉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"112Y"
09020,金門縣,09020010,金城鎮,67,19,11,,,1,36,,,,,,,2023.97,388.62,595.90,,,12.86,1026.59,,,,,,,6300000,4700000,13000000,,,2700000,6745000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"112Y"
09020,金門縣,09020020,金沙鎮,25,6,6,,,,13,,,,,,,695.21,138.63,315.11,,,,241.48,,,,,,,3650000,3650000,6550000,,,,3300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"112Y"
09020,金門縣,09020030,金湖鎮,117,24,32,,,1,60,,,,,,,4630.74,617.88,2336.72,,,44.06,1632.09,,,,,,,6680000,5500000,12400000,,,10630000,6000000,,,,,,,15,,,,,,15,,,,,,,625.11,,,,,,625.11,,,,,,,7500000,,,,,,7500000,,,,,,,"112Y"
09020,金門縣,09020040,金寧鄉,195,61,17,,,,117,,,,,,,5736.47,1165.68,922.02,,,,3648.76,,,,,,,6700000,4150000,12500000,,,,7396700,,,,,,,8,4,1,,,,3,,,,,,,346.21,196.98,86.43,,,,62.81,,,,,,,7740000,8300000,14800000,,,,1000000,,,,,,,"112Y"
09020,金門縣,09020050,烈嶼鄉,1,,1,,,,,,,,,,,56.72,,56.72,,,,,,,,,,,9700000,,9700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"112Y"
09020,金門縣,09020060,烏坵鄉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"112Y"
10002,宜蘭縣,10002010,宜蘭市,750,90,397,,,81,182,,,,,,,34131.89,2828.44,22301.29,,,2768.47,6233.69,,,,,,,7600000,4500000,11800000,,,9000000,5100000,,,,,,,169,2,5,,,65,97,,,,,,,8605.18,146.24,358.19,,,3516.02,4584.73,,,,,,,8600000,7990000,18600000,,,9650000,7700000,,,,,,,"112Y"
10002,宜蘭縣,10002020,羅東鎮,494,60,202,,,62,170,,,,,,,20432.86,1658.37,10485.13,,,1979.19,6310.16,,,,,,,6050000,4325000,10975000,,,5300000,5240000,,,,,,,105,5,2,,,34,64,,,,,,,5275.30,252.83,183.11,,,1682.85,3156.51,,,,,,,7800000,6500000,22925000,,,8430000,7500000,,,,,,,"112Y"
10002,宜蘭縣,10002030,蘇澳鎮,209,29,146,,,8,26,,,,,,,11710.25,867.72,9853.35,,,214.28,774.90,,,,,,,3950000,2260000,5319000,,,3075000,3915000,,,,,,,12,1,,,,,11,,,,,,,361.64,35.40,,,,,326.25,,,,,,,5395000,3900000,,,,,5400000,,,,,,,"112Y"
10002,宜蘭縣,10002040,頭城鎮,205,6,112,,,47,40,,,,,,,8619.82,239.47,5975.54,,,1288.43,1116.37,,,,,,,7080000,4690000,9525000,,,6800000,5570000,,,,,,,21,1,,,,8,12,,,,,,,820.14,44.46,,,,340.13,435.55,,,,,,,7580000,8800000,,,,9875000,7030000,,,,,,,"112Y"
10002,宜蘭縣,10002050,礁溪鄉,610,41,160,,,230,179,,,,,,,19567.95,1351.59,9199.16,,,5451.59,3565.62,,,,,,,7250000,3000000,11440000,,,8545000,3500000,,,,,,,83,,19,,,39,25,,,,,,,3866.50,,1572.92,,,1484.20,809.38,,,,,,,10100000,,16750000,,,10100000,6700000,,,,,,,"112Y"
10002,宜蘭縣,10002060,壯圍鄉,130,13,103,,,,14,,,,,,,6719.51,444.52,5888.67,,,,386.32,,,,,,,7000000,4100000,7800000,,,,6200000,,,,,,,4,,2,,,,2,,,,,,,230.83,,160.98,,,,69.85,,,,,,,13100000,,18150000,,,,8825000,,,,,,,"112Y"
10002,宜蘭縣,10002070,員山鄉,159,5,143,,,,11,,,,,,,9413.57,167.17,8966.31,,,,280.10,,,,,,,10380000,3900000,11000000,,,,4500000,,,,,,,14,,1,,,,13,,,,,,,544.14,,82.68,,,,461.46,,,,,,,5600000,,12120000,,,,5000000,,,,,,,"112Y"
10002,宜蘭縣,10002080,冬山鄉,382,21,300,,,,61,,,,,,,18938.64,604.04,17033.27,,,,1301.34,,,,,,,8000000,3800000,9500000,,,,4850000,,,,,,,43,1,7,,,,35,,,,,,,1553.71,36.27,407.01,,,,1110.43,,,,,,,6650000,7550000,6650000,,,,6250000,,,,,,,"112Y"
10002,宜蘭縣,10002090,五結鄉,354,8,252,,,29,65,,,,,,,20565.42,261.77,18007.85,,,684.56,1611.24,,,,,,,7925000,3300000,9240000,,,2575000,4680000,,,,,,,96,18,9,,,12,57,,,,,,,4677.24,852.76,1166.31,,,572.38,2085.79,,,,,,,5775000,3350000,13600000,,,10300000,5900000,,,,,,,"112Y"
10002,宜蘭縣,10002100,三星鄉,179,5,162,,,,11,,,,,,1,9747.22,138.54,9157.26,,,,383.88,,,,,,67.54,10500000,2850000,10750000,,,,6080000,,,,,,6950000,13,,,,,,13,,,,,,,451.48,,,,,,451.48,,,,,,,6580000,,,,,,6580000,,,,,,,"112Y"
