COUNTY_ID,COUNTY,TOWN_ID,TOWN,COUN_TOWNAREA,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,CLUSTER,RISK_SCORE,RISK_LEVEL,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,縣市鄉鎮,國土面積,1人家戶,獨居老人家戶(合計),總人口數(14歲以下),總人口數(15~64歲),總人口數(65歲以上),總人口數-總計,男性人口數(14歲以下),男性人口數(15~64歲),男性人口數(65歲以上),女性人口數(14歲以下),女性人口數(15~64歲),女性人口數(65歲以上),20-39女性人口數,出生數,死亡數,扶養比,扶老比,人口密度,自然增加率,社會增加率,電信信令平日夜間停留人數,電信信令假日夜間停留人數,低收入戶數_計,低收入戶數_男,低收入戶數_女,低收入人數_總計,低收入人數_未滿12歲,低收入人數_12至17歲,低收入人數_18至64歲,低收入人數_65歲以上,低收入人數_男_計,低收入人數_男_未滿12歲,低收入人數_男_12至17歲,低收入人數_男_18至64歲,低收入人數_男_65歲以上,低收入人數_女_計,低收入人數_女_未滿12歲,低收入人數_女_12至17歲,低收入人數_女_18至64歲,低收入人數_女_65歲以上,停水次數,日最高氣溫≥36°C之日數,日最低氣溫≤10°C之日數,當日最高-最低溫差≥9°C之日數,年最大累積雨量(單站),大雨日數,豪雨日數,大豪雨日數,超大豪雨日數,交通事故件數_A1,交通事故死亡人數_A1,交通事故總件數,樂齡學習中心數量,樂齡學習參與人次,樂齡學習參與人次_男性,樂齡學習參與人次_女性,文健站數量,部落大學班數,部落大學學員人數,部落大學學員人數_男性,部落大學學員人數_女性,部落大學學員人數_65歲以上,醫事人員數,護產人員數,急診人次,醫院家數,總病床數,急性一般病床,佔床率總計,佔床率急性,院所家數,醫院家數,診所家數,PC1,PC2,PC3,分群數,風險係數,風險級別,資料時間
65000,新北市,65000010,板橋區,新北市板橋區,2052.5667,77837,23345,68702,381922,103623,554247,35487,187133,45714,33215,194789,57909,67564,2478,3852,45.12,27.13,23954.7,-2.49,10.96,571963,570948,1230.25,760.5,469.75,2051.5,228,288,1076.5,459,1152,130.75,157.25,538,326,899.5,97.25,130.75,538.5,133,2,5,7,51,1822.5,4,1,0,0,9,9,5859,1,17266,4036,13230,,3,60,22,38,21,3398,2119,129939,7,1594,1027,80.71,78.26,627,7,620,23.37738301,-6.897579042,0.01949447,2,0.88964332,High Risk,"112Y"
65000,新北市,65000020,三重區,新北市三重區,2052.5667,63200,18754,40272,270994,71842,383108,20679,134711,31809,19593,136283,40033,48163,1653,3103,41.37,26.51,23479.07,-3.8,12.41,425020,423029,2236.75,1386.75,850,3803.5,443.25,489.5,2044.75,826,2115.25,227.75,249.25,1065.5,572.75,1688.25,215.5,240.25,979.25,253.25,196,10,6,33,1410.5,3,1,0,0,12,12,6167,1,7312,650,6662,1,3,99,30,69,18,868,530,69396,4,614,475,51.63,48.51,371,4,367,21.37254886,3.08775159,0.145662719,2,0.122704483,High Risk,"112Y"
65000,新北市,65000030,中和區,新北市中和區,2052.5667,52862,20064,39328,284277,83668,407273,20460,139483,35845,18868,144794,47823,48814,1699,3204,43.27,29.43,20218.08,-3.71,13.99,461867,460394,1648.5,974.5,674,2949.25,400.75,388.5,1607.25,552.75,1585,197.25,209,837.75,341,1364.25,203.5,179.5,769.5,211.75,30,6,16,76,2020.5,4,2,0,0,11,11,4304,1,9676,2957,6719,1,5,60,1,59,30,2644,1550,94969,4,1135,874,77.88,79.83,369,4,365,19.62599754,-0.826232176,0.526290072,2,0.32555017,High Risk,"112Y"
65000,新北市,65000040,永和區,新北市永和區,2052.5667,31013,12570,24141,142172,48458,214771,12445,68327,20568,11696,73845,27890,23802,730,1693,51.06,34.08,37588.12,-4.51,16.7,225926,225638,898.75,516.25,382.5,1532.5,177,180.75,807,367.75,809,90,99.75,401.5,217.75,723.5,87,81,405.5,150,60,19,5,59,1927.5,5,1,0,0,3,3,2462,1,13717,3439,10278,,3,25,5,20,9,600,346,44197,2,311,250,60.83,61.91,303,2,301,8.992833912,-1.396901954,1.624211522,3,0.089029449,Medium High Risk,"112Y"
65000,新北市,65000050,新莊區,新北市新莊區,2052.5667,53466,14331,55578,302608,65421,423607,28473,147552,29433,27105,155056,35988,56451,2206,2601,39.99,21.62,21461.17,-0.94,9.57,438175,436655,1412.5,893.5,519,2922.75,372.25,530.75,1656,363.75,1552.5,183.25,255,865,249.25,1370.25,189,275.75,791,114.5,2,4,6,35,1292.5,5,1,0,0,12,12,5233,2,23468,4860,18608,1,6,82,9,73,34,1622,1016,85751,9,1468,728,78.25,87.32,399,9,390,20.45411465,-2.733423932,-1.53467206,2,0.503229366,High Risk,"112Y"
65000,新北市,65000060,新店區,新北市新店區,2052.5667,45164,17857,26854,210987,67027,304868,13734,102758,29058,13120,108229,37969,36568,1147,2524,44.5,31.77,2535.8,-4.56,25.36,336985,335622,1232.25,753,479.25,2008.5,213.25,225.25,1012.75,557.25,1100.5,100,123,543.25,334.25,908,113.25,102.25,469.5,223,21,25,12,186,2745,8,2,0,0,8,8,2729,2,22775,3446,19329,1,7,76,13,63,31,3522,2049,124459,7,2378,1470,64.29,58.54,247,7,240,14.66667332,-3.502759213,3.956534534,3,0.566164434,Medium High Risk,"112Y"
65000,新北市,65000070,樹林區,新北市樹林區,2052.5667,19171,6318,22089,129848,28721,180658,11500,64905,13310,10589,64943,15411,23676,901,1203,39.13,22.12,5453.2,-1.67,4.95,186549,187333,604.25,372.75,231.5,1210,176.25,218.5,652.5,162.75,648.25,88.25,111.75,329.25,119,561.75,88,106.75,323.25,43.75,2,29,13,186,1946,5,2,0,0,10,10,1718,1,15899,4404,11495,2,3,83,21,62,32,143,90,14908,1,158,132,64.71,73.14,110,1,109,5.332206185,-0.435216771,-1.613350252,3,0.348020126,Medium High Risk,"112Y"
65000,新北市,65000080,鶯歌區,新北市鶯歌區,2052.5667,9625,2749,10863,64844,13373,89080,5581,32840,6128,5282,32004,7245,11903,507,663,37.38,20.62,4216.84,-1.76,9.35,94412,90389,694.75,388,306.75,1676.25,306.75,269.75,957.75,142,831.25,162.75,119.5,461.25,87.75,845,144,150.25,496.5,54.25,5,17,21,101,1648,2,2,0,0,5,5,1226,1,13657,2576,11081,,2,20,,20,10,12,6,0,1,63,0,76.3,0,48,1,47,2.910189349,2.369005255,-2.151341919,0,0.341038032,Medium Risk,"112Y"
65000,新北市,65000090,三峽區,新北市三峽區,2052.5667,12681,4478,15122,82855,17631,115608,7909,41437,8196,7213,41418,9435,14865,599,866,39.53,21.28,603.85,-2.31,5.21,117393,118267,682.25,405.5,276.75,1510.5,218.75,291.75,830.75,169.25,758,105.5,134.5,402.75,115.25,752.5,113.25,157.25,428,54,1,40,11,180,2066,4,2,0,0,7,7,1342,1,13115,2153,10962,1,2,20,4,16,10,1041,666,54560,3,471,362,69.65,71.05,87,3,84,4.48898028,0.619015763,-0.120147504,0,0.34967382,Medium Risk,"112Y"
